ASX Listed Companies (1 June 2018),,,,,,
Code,Company,Sector,Market Cap,Weight(%),,Total Index Market Cap
BMZ,Black Mounta Res Limited,Materials,"6,328,520",0.000,,
BNKS,Beta Global Banks ETF Units FP,,"74,076,600",0.004,,
BNO,Bionomics Limited,Health Care,"282,420,000",0.014,,
BNR,Bulletin Res Limited,Materials,"6,992,430",0.000,,
BOA,Boadicea Resources,Materials,"4,967,450",0.000,,
BOC,Bougainville Copper 1 Kina,Materials,"76,201,900",0.004,,
BOE,Boss Resources Limited,Materials,"97,613,000",0.005,,
BOL,Boom Logistics,Industrials,"90,225,100",0.004,,
BOND,SPDR Aust BOND ETF Units FP,,"23,583,600",0.001,,
BOQ,Bank of Queensland,Financials,"4,024,770,000",0.195,,
BOT,Botanix Pharma Limited,Health Care,"97,208,000",0.005,,
BPF,Bulletproof Group,Information Technology,"24,356,400",0.001,,
BPG,Byte Power Group,Consumer Discretionary,"27,585,600",0.001,,
BPH,BPH Energy Limited,Health Care,"1,932,380",0.000,,
BPL,Broken Hill Prospect,Materials,"15,516,200",0.001,,
BPP,Babylon Pump & Power,Industrials,"6,323,480",0.000,,
BPT,Beach Energy Limited,Energy,"3,733,580,000",0.181,,
BRB,Breaker Res NL,Materials,"39,177,400",0.002,,
BRC,Brain Resource Limited,Health Care,"20,187,900",0.001,,
BRG,Breville Group Limited,Consumer Discretionary,"1,511,710,000",0.073,,
BRI,Big RIV Indust Limited,Materials,"98,661,700",0.005,,
BRK,Brookside Energy Limited,Energy,"12,837,500",0.001,,
BRL,Bathurst Res Limited,Materials,"242,106,000",0.012,,
BRN,Brainchip Limited,Information Technology,"135,671,000",0.007,,
BRO,Broad Investments,Telecommunication Services,"3,957,780",0.000,,
BRU,Buru Energy,Energy,"159,848,000",0.008,,
BSA,BSA Limited,Industrials,"137,474,000",0.007,,
BSE,Base Res Limited,Materials,"310,083,000",0.015,,
BSL,Bluescope Steel Limited,Materials,"9,562,230,000",0.463,,
BSM,Bass Metals Limited,Materials,"78,358,400",0.004,,
BSN,Bisan Limited,Financials,"519,422",0.000,,
BSP,Black Star Petroleum,Energy,"1,060,020",0.000,,
BSR,Bassari Resources,Materials,"46,811,500",0.002,,
BST,Barrack ST Invest,,"16,669,400",0.001,,
BSX,Blackstone Limited,Materials,"20,973,300",0.001,,
BTC,BTC Health Limited,Financials,"24,104,900",0.001,,
BTH,Bigtincan Holdings Limited,Information Technology,"52,001,200",0.003,,
BTI,Bailador Tech INV,Financials,"94,394,500",0.005,,
BUB,Bubs Aust Limited,Consumer Staples,"259,081,000",0.013,,
BUD,Buddy Platform Limited,Information Technology,"56,115,300",0.003,,
BUG,Buderim Group Limited,Consumer Staples,"26,666,800",0.001,,
BUL,Blue Energy Limited,Energy,"138,587,000",0.007,,
BUX,Buxton Resources Limited,Materials,"14,964,900",0.001,,
BUY,Bounty Oil & Gas NL,Energy,"5,720,410",0.000,,
BVS,Bravura Solution Limited,Information Technology,"664,163,000",0.032,,
BWF,Blackwall Limited,Financials,"56,697,100",0.003,,
BWP,BWP Trust Ordinary Units FP,Real Estate,"2,055,630,000",0.100,,
BWR,Blackwall Prop Trust Ordinary Units FP,Real Estate,"93,289,500",0.005,,
BWX,BWX Limited,Consumer Staples,"741,297,000",0.036,,
BXB,Brambles Limited,Industrials,"14,374,500,000",0.696,,
BXN,Bioxyne Limited,Health Care,"42,889,700",0.002,,
BYE,Byron Energy Limited,Energy,"232,896,000",0.011,,
BYH,Bryah Resources Limited,Materials,"5,131,260",0.000,,
BYI,Beyond International,Consumer Discretionary,"43,242,600",0.002,,
C6C,Copper Mountain Chess Depositary Interests 1:1,Materials,"42,584,800",0.002,,
CA8,Coassets Limited,Information Technology,"29,524,900",0.001,,
